Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,93644803694,98160865036,1.02363E+11,1.04799E+11,1.12745E+11,1.18594E+11,1.24793E+11,1.31733E+11,1.36921E+11,1.41846E+11,1.53045E+11,1.57814E+11,1.6472E+11,1.65956E+11,1.77856E+11,1.85074E+11,2.02787E+11,2.12824E+11,2.26767E+11,2.228E+11,2.38548E+11,2.47352E+11,2.50525E+11,2.62368E+11,2.70331E+11,2.78823E+11,2.90377E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2342710799,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,302972611.9,317272321.2,331092103.7,346298625.7,353788571.3,372111441.7,390669232.4,406038960.1,425935110.1,433987547.3,454247228.2,464307293.5,458098665.8,496918579.2,526158766.4,546652579.6,589696854.5,643855738.3,703232343.9,700284352.2,713604504.7,726881582.9,732978295.2,741309125.4,788484640.4,776590841,804883271.8
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Dominican Republic,DOM,..,..,..,..,..,..,..,..,..,..,25424102108,26518375231,30166314569,33158509968,34744755434,37486007915,40452090892,44800223204,48327167009,51981315988,55642547938,58310311645,61866793668,62251305652,65606979069,74102585397,83386514981,91954188819,96767139731,98424543460,1.07935E+11,1.13643E+11,1.18969E+11,1.26959E+11,1.39239E+11,1.50626E+11,1.62341E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,49335679711,53165457249,55527097716,57969972167,61724689914,64431444906,66743834647,70824178913,73931402657,71505275837,73930853156,78652109238,83131183166,87097562539,96840750757,1.05246E+11,1.13256E+11,1.18817E+11,1.28849E+11,1.30563E+11,1.36816E+11,1.50664E+11,1.62217E+11,1.73229E+11,1.83194E+11,1.85336E+11,1.85065E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,2.13933E+11,2.23542E+11,2.38864E+11,2.51641E+11,2.67207E+11,2.85444E+11,3.05155E+11,3.27425E+11,3.49432E+11,3.76255E+11,4.0933E+11,4.33459E+11,4.50633E+11,4.74296E+11,5.0728E+11,5.47017E+11,6.0241E+11,6.62276E+11,7.23591E+11,7.63161E+11,8.12243E+11,8.43842E+11,8.79172E+11,9.14152E+11,9.58607E+11,1.01122E+12,1.06671E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,15431874896,16183810246,17714406524,19191247932,20518845128,21938624490,22521788473,23625378144,24515637845,25428576031,26300064317,27135410381,27987531479,28991567130,30054108455,31861028336,34266085884,35832536633,37312622980,36812715369,38047151273,40322505966,42252294772,44014978636,45735341477,47323450751,49075520937
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,275682380.9,281946570.6,388570045.2,441706934.8,526301336.7,631228178,1070695573,2722256985,3406026759,4345650064,5254054234,8779689648,10649477095,12377629736,17550650536,21149455560,23478835413,27787238989,33375216917,34080432904,31418130196,34166939303,37716932281,36792564089,37644239056,34580704827,31975498648
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,2366080632,2748300799,3402428381,3572674745,3974722726,4362478629,4487990457,4557285408,4514539781,5021697029,5252026750,5214505637,5435672395,5755014031,5874331170,6116713769,5626561751,5889062002,6091783461,6758835465,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9027693077,9662139485,10975243995,11596018391,11633853162,13161364174,14301432323,15987498483,17908038066,19647190138,22375658815,25936841590,29447082824,30303860344,27360698550,28735483600,32579424941,34419815454,36239295476,38074717114,38426917438,40654683249
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,2993495615,3147585316,3323198559,3507944412,3668605243,3925846950,4151102069,4353153377,4514984296,4719348513,4911697202,5076617399,5380324190,5700541904,6069554110,6640664781,7254828576,7778246483,7995990261,8182806110,8596973880,8973786732,9577385502,10371222181,10771491774,10929256113,11404814714
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,20257819022,19438078563,18156988059,21032110414,22164896545,24013667935,27490504534,28837277388,28142180020,30047817933,32597956575,36108556266,37218209473,37139901546,43340606078,50022292671,57145399815,65387132549,73862457732,80974553843,92250401093,1.04705E+11,1.15941E+11,1.3046E+11,1.46564E+11,1.63526E+11,1.77814E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,2773762613,2788703216,3026261817,3164258512,3396409648,3553928914,3792510593,3772556290,3863073742,4267343954,4290252655,4475783703,4689916344,4831270201,5227214857,5433175597,5703838092,5805825232,5980851473,5942745747,6193060637,6493459112,6711393973,7152482324,7696171793,8077505744,8196866376
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Finland,FIN,..,..,..,..,..,..,..,..,..,..,90501022251,88027930207,87040726098,88448509904,93895858850,99897827621,1.02787E+11,1.11939E+11,1.21409E+11,1.27942E+11,1.38478E+11,1.44074E+11,1.48566E+11,1.51099E+11,1.62691E+11,1.6784E+11,1.80965E+11,1.99402E+11,2.12373E+11,2.0197E+11,2.07762E+11,2.19214E+11,2.19916E+11,2.24594E+11,2.2649E+11,2.31351E+11,2.40309E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,France,FRA,..,..,..,..,..,..,..,..,..,..,1.02636E+12,1.07219E+12,1.11416E+12,1.13339E+12,1.18489E+12,1.23522E+12,1.27462E+12,1.3337E+12,1.4059E+12,1.47052E+12,1.58947E+12,1.68742E+12,1.76293E+12,1.75166E+12,1.82057E+12,1.92688E+12,2.06355E+12,2.18221E+12,2.25926E+12,2.24437E+12,2.33449E+12,2.44648E+12,2.474E+12,2.60852E+12,2.66203E+12,2.71922E+12,2.80427E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,11998786384,13156005982,13040096766,13877233861,14698752238,15751662487,16620646999,17875187298,18697594848,17287983397,17348440535,18122665727,18355046953,19141780846,19803746645,20988001214,21025666847,22882094541,22559064157,22760010298,24671357045,26972900730,28933729506,31101613227,33057432432,34706903628,35820247514
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,892427775.7,950783365.1,1005313248,1060233796,1084468236,1116849561,1162525257,1240360583,1297705413,1401888601,1512647243,1636851879,1607965252,1752698972,1927856284,1971149431,2054546826,2185811735,2356496216,2527533347,2725372374,2662799770,2865838164,3055782853,3084319566,3300232257,3349853380
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,24775248900,20198318036,11382970670,8239237352,7539463592,7896826579,8941578169,10051279708,10475831267,10941323489,11396011349,12215824966,13082292565,14818661191,16108636608,18221194891,20550307756,23750993584,24802485574,24078653269,25895891952,28345977209,30724237336,32322331879,34456472850,35827997186,37251680206
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Germany,DEU,..,..,..,..,..,..,..,..,..,..,1.54283E+12,1.67648E+12,1.74767E+12,1.77198E+12,1.85429E+12,1.92606E+12,1.97493E+12,2.02171E+12,2.08339E+12,2.16417E+12,2.24422E+12,2.34499E+12,2.41913E+12,2.4752E+12,2.59244E+12,2.63642E+12,2.82072E+12,2.99868E+12,3.12255E+12,3.03386E+12,3.20463E+12,3.42714E+12,3.50368E+12,3.64778E+12,3.82163E+12,3.91928E+12,4.11096E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,18144991956,19739237377,20972427116,22512779793,23750613662,25243070743,26886908310,28494659935,30157795858,31966555764,33903637669,36063318687,38264697551,41057158435,44548538288,48694885910,53403097729,57207448447,63666681422,67257935797,73457465888,85526138706,95266583440,1.04027E+11,1.09066E+11,1.12634E+11,1.17791E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Greece,GRC,..,..,..,..,..,..,..,..,..,..,1.35526E+11,1.44452E+11,1.48779E+11,1.49867E+11,1.56128E+11,1.62749E+11,1.71112E+11,1.82885E+11,1.93328E+11,1.98712E+11,2.10918E+11,2.27709E+11,2.46559E+11,2.60855E+11,2.78669E+11,2.81028E+11,3.14296E+11,3.23631E+11,3.41818E+11,3.37269E+11,3.13048E+11,2.90297E+11,2.79267E+11,2.86169E+11,2.92336E+11,2.91109E+11,2.93903E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,450546344.1,471993147.3,478643528.2,480432891.9,498966695.9,520220510.4,553227515.9,590918013.8,667538303.8,724507701.3,777213450.4,778836879.6,817975109.8,913242598.5,932278846.1,1089999742,1078630181,1175143345,1209548512,1138135919,1146146602,1179039533,1187770832,1237034974,1353005777,1455582263,1526469077
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,30533658502,32704151896,35068067441,37312364216,39643535411,42473066923,44527628984,47266205131,50165030428,52892130145,56047943889,58662375491,61865990270,64696552091,68570889905,73084670108,79382613273,86632758390,91230405890,92406797101,96219393993,1.02318E+11,1.07377E+11,1.13301E+11,1.20264E+11,1.26582E+11,1.31924E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,5511725861,5844023635,6172753517,6638390204,7048823347,7527399755,8006788001,8565805159,8974302025,9458973731,9916366001,10513392463,11226097151,11592916088,12190436450,12959817829,13515620887,14822650746,15738597611,15680885501,16637567323,17938334090,19364114074,20479248014,21640313917,22706116742,25354094470
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,1029492202,1118010693,1156074772,1208436010,1273646035,1357419421,1542535018,1670916373,1214427362,1245657009,1343142118,1403821125,1411329088,1447655328,1528536613,1645026462,1734722751,1838999192,1935142461,2015528180,2134215305,2354948198,2359006042,2478559808,2549810771,2735156838,2938237427
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,1381042405,1513456974,1668045726,1847341861,2047633204,2195514561,2413447993,2606474395,2590520925,2708021087,2731870149,2857819487,2934555907,2974149636,3103705412,3141071105,3403648040,3739512988,3888234675,4056928433,4276421948,4592610280,4927656734,5264868616,5570840996,5808468576,6066708875
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,9612451916,10119186897,9800288330,9489017480,8532826074,9572962105,10151352677,10604357637,10953323263,11422349466,11783910001,11926580831,12079217208,12364904103,12257324910,12880086275,13574398957,14401567352,14807995659,15380487240,14712421905,15849403538,16619410124,17627092562,18465295404,18888798074,19372752815
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Honduras,HND,..,..,..,..,..,..,..,..,..,..,10270845571,10260443372,11131728543,12136871290,12421425805,13465331142,13967652864,14859946064,15560511154,15682414222,17208740101,18080217035,19046983636,20310134795,22169201672,24267056348,26655243712,29058042210,30881788891,30359682919,31877078087,33791210423,35861162097,37509154113,39387544616,41337416760,43357457549
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,99430269961,1.08598E+11,1.17999E+11,1.28298E+11,1.38937E+11,1.45202E+11,1.54149E+11,1.64783E+11,1.56772E+11,1.63162E+11,1.79663E+11,1.84788E+11,1.90733E+11,2.00482E+11,2.23916E+11,2.48196E+11,2.73813E+11,2.99273E+11,3.11636E+11,3.06282E+11,3.31004E+11,3.54188E+11,3.67118E+11,3.85147E+11,4.03274E+11,4.17319E+11,4.31008E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,86215466284,85478237120,86999339753,91475861703,94785082748,96312466726,1.01077E+11,1.06891E+11,1.11535E+11,1.21286E+11,1.34792E+11,1.47804E+11,1.56687E+11,1.64196E+11,1.72305E+11,1.84285E+11,1.91363E+11,2.07576E+11,2.06985E+11,2.15349E+11,2.27766E+11,2.29106E+11,2.42026E+11,2.51775E+11,2.59426E+11,2.63522E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,5510915800,5684546568,5617930919,5826572381,6165754544,6302379042,6568844183,7265301072,7824538773,8139586975,8283769826,8978746131,9263911803,9363224195,10316050655,10968813947,11760309752,12707889607,13560295188,13123227349,12587099510,13005319158,13446448680,14296625815,14966416225,16119986191,17638152067
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,India,IND,..,..,..,..,..,..,..,..,..,..,1.07539E+12,1.12292E+12,1.21149E+12,1.29924E+12,1.41524E+12,1.55419E+12,1.70204E+12,1.80128E+12,1.93344E+12,2.13667E+12,2.26923E+12,2.4329E+12,2.56422E+12,2.82093E+12,3.12814E+12,3.48463E+12,3.8812E+12,4.28974E+12,4.50889E+12,4.90031E+12,5.38166E+12,5.78204E+12,6.21447E+12,6.72735E+12,7.36257E+12,8.03633E+12,8.78792E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,5.42283E+11,5.99063E+11,6.5253E+11,7.11455E+11,7.81381E+11,8.63247E+11,9.47728E+11,1.00925E+12,8.86286E+11,9.06968E+11,9.73246E+11,1.03169E+12,1.09466E+12,1.16986E+12,1.26251E+12,1.37731E+12,1.49772E+12,1.63514E+12,1.76747E+12,1.86333E+12,2.00348E+12,2.17152E+12,2.34662E+12,2.5205E+12,2.69676E+12,2.85851E+12,3.03521E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,4.13917E+11,4.80657E+11,5.0555E+11,5.22961E+11,5.26017E+11,5.49246E+11,5.88205E+11,6.01156E+11,6.20915E+11,6.3581E+11,6.88371E+11,7.09541E+11,7.72776E+11,8.57031E+11,9.19118E+11,9.78954E+11,1.05948E+12,1.17638E+12,1.20247E+12,1.22381E+12,1.31058E+12,1.37335E+12,1.29549E+12,1.31567E+12,1.40227E+12,1.39855E+12,1.60324E+12
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,1.30059E+11,48316218501,65523901670,87402180111,92702854634,96642647229,1.09252E+11,1.34722E+11,1.83654E+11,2.19249E+11,2.27392E+11,2.37936E+11,2.24918E+11,1.53469E+11,2.43089E+11,2.61953E+11,2.97428E+11,3.0955E+11,3.41592E+11,3.55817E+11,3.83222E+11,4.20752E+11,4.88583E+11,5.34941E+11,5.48877E+11,5.68491E+11,6.49559E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,48275910748,50871589094,53770421623,56526510026,61056616484,68342628628,74493178340,83130242434,93038136693,1.01361E+11,1.14833E+11,1.25829E+11,1.38447E+11,1.44825E+11,1.57394E+11,1.68219E+11,1.88916E+11,2.05693E+11,1.988E+11,1.88766E+11,1.97419E+11,2.05818E+11,2.12881E+11,2.2179E+11,2.38441E+11,3.24245E+11,3.37276E+11
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Israel,ISR,..,..,..,..,..,..,..,..,..,..,70669178908,78703684713,86743285178,92454071933,1.01442E+11,1.10408E+11,1.18097E+11,1.25017E+11,1.31728E+11,1.38425E+11,1.56787E+11,1.60385E+11,1.65653E+11,1.59232E+11,1.71712E+11,1.72005E+11,1.81051E+11,1.97087E+11,2.00257E+11,2.05815E+11,2.19785E+11,2.37392E+11,2.50963E+11,2.75461E+11,2.81491E+11,2.97615E+11,3.20589E+11
