"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&vs=INTL.44-1-AFG-QBTU.A&vo=0&v=H&end=2016"
"Tue Apr 30 2019 10:30:49 GMT-0500 (Central Daylight Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"","Bermuda","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Bhutan","Quad Btu",6.3986932928843E-5,7.6156881501558E-5,8.6949562453754E-5,9.0795196427508E-5,9.6790101655016E-5,0.0001001639280327,0.003160340504274,0.012230103347096,0.015851747110203,0.016016879110203,0.016095833110203,0.016315203110203,0.018446401493394,0.018061713340451,0.01822716623517,0.018941020455575,0.02027291823517,0.020379142082227,0.019840030861821,0.019881511861821,0.019938971861821,0.02165621566748,0.024095057007161,0.026533088272176,0.024310290148998,0.028026561639933,0.045627653193629,0.065678792532415,0.069267489976673,0.069296570010283,0.071795319578879,0.06919779018163,0.065916472855179,0.073439150055809,0.07004694465314,0.073890272483625,0.074671370806517
"","Bolivia","Quad Btu",0.14726963966835,0.13531424105492,0.15143873562545,0.1502020618036,0.156507088,0.150819841,0.14749375,0.147512566,0.157018896,0.16786002,0.169755264,0.168217808,0.17739924,0.172618066,0.177225606,0.19914899,0.2008241735,0.2037318525,0.2117680965,0.1848980465,0.2159023582,0.277249837,0.32137029699811,0.36326106551208,0.50464086766586,0.590727488318,0.620748441993,0.65638271602,0.657918499702,0.57217847274,0.63986060086,0.69311684884,0.78816046850616,0.89837336130495,0.92299865896,0.9080483720575,0.872096816675
"","Bosnia and Herzegovina","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.058002528677555,0.042851917987214,0.055919755832385,0.091804293860792,0.07678267028338,0.12618982528714,0.14800247045773,0.15438502403493,0.15916280347222,0.16299393762726,0.16829792034574,0.14909395332087,0.1408189085907,0.14257302745401,0.14347375584717,0.12801005835948,0.14552579303694,0.15769978087984,0.16991803468106,0.14515079541179,0.14084468905689,0.15922164166129,0.14603440166177,0.14006234315736,0.14597784372726
"","Botswana","Quad Btu",0.0085241144563017,0.0089694876296811,0.0094838251084453,0.0087965191781155,0.0087519798405048,0.0097318452679405,0.010912137714624,0.010845328708208,0.013562228302462,0.014764790417951,0.017682117031453,0.017918840686798,0.020129943187251,0.019820005236767,0.020129943187251,0.020530797225748,0.016424637780598,0.017562525985912,0.020577173976149,0.016023783742102,0.020933488677034,0.020753493913801,0.021445988743008,0.018655874853616,0.020575336563358,0.021935623773275,0.021846842781505,0.018878571541669,0.020530797225748,0.016870031156705,0.022004865559383,0.01754849901862,0.032758682812678,0.033649931065623,0.038443654529014,0.04653421191797,0.041854681698889
"","Brazil","Quad Btu",1.9798046171689,2.0845631770498,2.3405639582592,2.7081513042074,3.2872083911849,3.6389653909943,3.638906689502,3.7028000708956,3.7983017848007,3.9928547474857,4.0320549181788,4.2064385318972,4.2391326711419,4.3584226439508,4.558830034058,4.7702661282383,5.1666464392795,5.4262231283756,5.8119221241696,6.1910947415099,6.6214880312238,6.4286399012378,6.9998977296562,7.357848251115,7.4864239445122,8.0421488566313,8.4208322642429,8.8459854481998,9.2216189474844,9.532023269974,10.142027941651,10.482295568977,10.370743070957,10.310658738906,10.806964716727,11.161198641663,11.625921743832
"","Brunei","Quad Btu",0.9457817,0.8068966,0.76423155,0.789739575,0.7360577,0.710320325,0.73572175,0.689564365,0.681559972,0.6717206,0.7242153,0.680761625,0.704162266,0.7130798926,0.72391296,0.75121499,0.7271057162,0.7413915468,0.7027080906,0.7760856345,0.8165100069,0.836795449875,0.79287674925,0.8280780864,0.85110792461,0.863327065,0.972925878,0.863986339,0.827262183,0.7308126405,0.75184981758558,0.81451461441029,0.77025898388511,0.72296774360479,0.67114123777501,0.70848226434071,0.68163986158811
"","Bulgaria","Quad Btu",0.29582043613906,0.31939134156359,0.34698555209383,0.36869474506656,0.3794551684448,0.36197706288874,0.3791430750112,0.39415623074444,0.40920889636599,0.40622044034501,0.36798205708292,0.33591494117109,0.32920537773154,0.3461370776713,0.35393264636514,0.39361740101489,0.41663687374402,0.39135997072573,0.39158147468895,0.34837932925231,0.37996222465919,0.38233890022956,0.40406383643572,0.37412161976372,0.37649602097747,0.4969319142937,0.41556287149355,0.36362597940414,0.3707676556044,0.35996026711882,0.3947897206522,0.44550977429681,0.43153581332462,0.39850302862547,0.46063161016381,0.49542413652622,0.45368859364502
"","Burkina Faso","Quad Btu",0,0,0,0,0,0,0,0,0,0,9.3618E-5,0.000135668,0.00020684,0.000484523,0.000742752,0.000969328,0.00117876,0.001174495,0.000795366,0.001257798,0.000989497,0.000547649,0.000651072,0.000972,0.001006047104,0.000994580532,0.000792141259,0.001090234852,0.001326082342,0.00127830624,0.001190232,0.00087444,0.001008696,0.0011077101,0.000962412,0.0009831545,0.001440192
"","Burma (Myanmar)","Quad Btu",0.086958328376567,0.081946268090847,0.093642495458963,0.097841391465727,0.10613885428762,0.10732773528903,0.10479973063965,0.092007980570907,0.079185412416067,0.087117649216067,0.08295579521044,0.0847803215695,0.086489387572313,0.091432558858413,0.10243085249795,0.10116701085841,0.095042691697946,0.095627167703574,0.10068858569935,0.090118063690547,0.16561514183263,0.27513948390942,0.37809429956995,0.43135628022589,0.45773555089559,0.56917760633757,0.56705247371891,0.60192457789733,0.56164993266144,0.53209234879787,0.55612516043183,0.57456470164632,0.580252310746,0.59868275942193,0.70143954624583,0.78206768804026,0.8384406094288
"","Burundi","Quad Btu",2.077600658E-5,2.090600524E-5,2.090800926E-5,0.0002419604186,0.00040716,0.000480562,0.000637206,0.000979386,0.001063372,0.001064064,0.001113014,0.00114796,0.001075568,0.001113372,0.001176024,0.001206504,0.00120978,0.00122556,0.001111473,0.000991922,0.000999698,0.001177962,0.001281798,0.0010125,0.00090144,0.000949905,0.000912548,0.001146544,0.001093794,0.0011712,0.0014331564,0.00131166,0.001398852,0.001412068,0.0014265,0.00223656,0.002594192
"","Cambodia","Quad Btu",0.00050901216121,0.00055400913886,0.00057497025465,0.000420800728,0.0003132,0.000365645,0.00041784,0.000468855,0.0005162,0.000563328,0.000644924,0.000667904,0.000692914,0.000711321,0.000732436,0.000752776,0.00079618,0.000582141,0.00050985,0.000449944,0.000479447,0.000320323,0.00030519,0.000496125,0.000420672,0.000589941,0.000644735,0.00064246,0.000610948,0.000569008,0.0005395068,0.0007510468,0.0051319788,0.0097919283,0.017729493,0.0189949177,0.0245598896
"","Cameroon","Quad Btu",0.1405520924415,0.2074683546898,0.25748308138964,0.2690641564546,0.315768,0.425253265,0.408535542,0.401489079,0.380388004,0.396290864,0.376207258,0.359904032,0.331688448,0.302510514,0.262153276,0.26906664,0.264651724,0.300674953,0.293844585,0.250960026,0.219076328,0.202337683,0.183202614,0.181283305,0.182184288,0.2172305782,0.2332389682,0.2195182042,0.2206104502,0.2078984322,0.19048820868415,0.18173917946058,0.18100352672899,0.17575077722754,0.22404307161017,0.27813795297302,0.26908805182481
"","Canada","Quad Btu",10.152341803075,9.9626083771112,9.9595059852008,10.212344892166,11.153882231373,11.811265421699,11.720677509717,12.360797514356,13.182116573932,13.081234686677,13.155026384178,13.686785102967,14.231144651883,15.127319163987,16.0571630462,16.523052468724,16.911129608623,17.059439863031,17.04717695715,17.311003243351,17.777547691466,17.894371649753,18.244170139663,18.161135862859,18.552403801514,18.765975830794,19.1117139392,19.420994782524,18.943573854751,18.275857471057,18.272057339857,18.685088130594,19.094293247494,19.906222707563,20.793359739711,20.919888016709,21.176670621958
"","Cape Verde","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,2.0618E-5,5.158E-5,6.1872E-5,7.238E-5,7.1491E-5,8.1576E-5,8.1808E-5,8.1608E-5,6.1998E-5,6.1038E-5,5.0625E-5,6.0096E-5,5.9994E-5,6.9433E-5,6.9188E-5,5.9124E-5,6.832E-5,3.9024E-5,0.0002429,0.000656604,0.000744198,0.00077031,0.000717563,0.0006924
"","Cayman Islands","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Central African Republic","Quad Btu",0.00068560821714,0.0006794451703,0.00071087231484,0.0006732811648,0.00072036,0.00062682,0.000793896,0.000760587,0.000763976,0.000771968,0.000790552,0.0007827,0.000796334,0.000793793,0.000814964,0.00082496,0.00083754,0.000847679,0.000825957,0.000828306,0.000846683,0.000847306,0.000834186,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.0013082796,0.0014214508,0.0014216904,0.0014731304,0.001487364,0.0014015776,0.0015731328
"","Chad","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0822992,0.3895944,0.4027104,0.3596736,0.32887232,0.29084416,0.27221536,0.2791056,0.26184288,0.23862384,0.22776,0.2755896,0.2802923957,0.2608013776
"","Chile","Quad Btu",0.27111815512301,0.28738034640145,0.26234919658375,0.25791518456584,0.26639865590207,0.26970064522724,0.25728059967046,0.26067524924804,0.25497515497708,0.25592526631487,0.29833841686128,0.28863990468608,0.3219695701248,0.325902738104,0.32486682835641,0.34915069448558,0.33278817804385,0.33207733156353,0.28832728572536,0.22557889780106,0.27942624147503,0.31275308178333,0.34493735287549,0.32758757448333,0.32147192221711,0.37883755220758,0.39564867063653,0.33484160187703,0.35471195443559,0.38322294066284,0.33841495726405,0.34446566664432,0.32145231784132,0.35756117553838,0.40534163533613,0.41178520081299,0.41342877169386
"","China","Quad Btu",19.540102798803,19.358543410768,20.436111791547,21.859322950396,23.919384692748,26.283862897044,27.06843034996,28.043809129214,29.377622884238,31.197958815076,31.87597702469,32.13092341807,32.909414365489,34.050100284725,36.214502808555,37.9558251352,40.031377669205,39.425270127371,39.058474474904,38.821504432093,41.261146335453,44.011044123317,46.202137147169,52.764545096158,60.327922142894,66.779393520765,72.186492440191,77.523090008242,82.354028645073,87.797967815933,97.033086639492,104.94640269171,110.98766884549,113.40374823023,114.79224768696,114.298446961,107.11730071569
"","Colombia","Quad Btu",0.66040828003276,0.67039354723337,0.75397001649406,0.78241166129059,0.92852106188993,1.0138319059456,1.3813737151153,1.5480045141377,1.6089035956641,1.7726114597966,1.9223266180765,1.8660060044933,1.8886893673282,1.9824008419279,2.0544811295475,2.4298740975318,2.6590437130438,2.7856579354773,2.983300252369,3.146426715817,3.0094148313357,3.0061796274461,2.9307713855995,3.0266415140997,3.1403069307241,3.2749119721261,3.5021234860768,3.5331692721004,3.926747947662,4.0795829990663,4.4160053635731,5.0591669317407,5.226305340013,5.3054149351899,5.3472942520186,5.3171734633611,5.1784227007528
"","Comoros","Quad Btu",2.077600658E-5,2.090600524E-5,2.090800926E-5,2.10400364E-5,2.088E-5,2.0894E-5,2.0892E-5,2.0838E-5,2.0648E-5,2.0864E-5,2.0804E-5,2.0872E-5,2.0684E-5,2.0618E-5,2.0632E-5,2.0624E-5,2.068E-5,2.0426E-5,2.0394E-5,2.0452E-5,2.0402E-5,2.0666E-5,3.0519E-5,4.05E-5,5.008E-5,4.9995E-5,4.9595E-5,4.942E-5,4.927E-5,4.88E-5,4.878E-5,4.858E-5,2.8548E-5,1.9082E-5,1.902E-5,1.8638E-5,1.8464E-5
"","Congo (Brazzaville)","Quad Btu",0.13908781232571,0.17753280626724,0.19060199680562,0.1869626841678,0.26000108,0.258524736,0.25471439,0.265039425,0.307210904,0.350081376,0.35324597,0.334173064,0.372541022,0.385371095,0.382378204,0.400304016,0.42977418,0.558151798,0.581703783,0.5925627,0.615272186,0.5602208841,0.5474389124,0.5385331794,0.5143327357,0.5031164349,0.5287535713,0.4620915941,0.5222647097,0.5988229533,0.76581639776104,0.66907330174319,0.61910968774141,0.58947768582429,0.56960249423882,0.57893117603206,0.49030074247578
"","Congo (Kinshasa)","Quad Btu",0.089777632386961,0.08916972236146,0.095675974992594,0.10273381780571,0.12044320512311,0.12582820412311,0.12582094614402,0.12565743561265,0.1210785529863,0.12448308373404,0.12387382110791,0.11607453148413,0.11901808135917,0.11043364623421,0.1113328811126,0.12813717773872,0.12683915030404,0.11163458886936,0.1049222754039,0.10122014193843,0.11652778046546,0.11228962680855,0.11011586715164,0.10958971749473,0.11647459683782,0.11655212148647,0.11731872403602,0.12426783558557,0.11648192693692,0.12340123648647,0.12099098474404,0.11873467271745,0.11489378318355,0.1209635548352,0.12635264171384,0.12565012149248,0.12688018289807
"","Cook Islands","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,1.0342E-6,1.0309E-6,1.0316E-6,1.0312E-6,1.034E-6,1.0213E-6,1.0197E-6,1.0226E-6,1.0201E-6,1.0333E-6,1.0173E-6,1.0125E-6,1.30208E-6,1.29987E-6,1.28947E-6,1.28492E-6,1.28102E-6,1.2688E-6,1.26828E-6,1.26308E-6,9.516E-7,7.6328E-6,1.902E-5,2.7957E-5,3.6928E-5
"","Costa Rica","Quad Btu",0.02179403090242,0.02363423892382,0.02469235893606,0.029508651051,0.03110076,0.028718803,0.029938236,0.030986106,0.03117848,0.034289984,0.034825896,0.037872244,0.04157484,0.045235892,0.0451325,0.041278936,0.04457574,0.055109348,0.049995891,0.061284418,0.069295393,0.070099072,0.075343988,0.073572745,0.0808316914,0.0817431375,0.0829162355,0.0853243195,0.0890960352,0.08577088,0.08653572,0.086414104,0.08988171742872,0.087302532558695,0.08833569328629,0.10091587384047,0.1000064870766
"","Cote dIvoire (IvoryCoast)","Quad Btu",0.01629212842505,0.03318066252212,0.03785888201453,0.0602858594194,0.06245996,0.074636768,0.055455834,0.051195504,0.038484364,0.01765254,0.018228758,0.017574052,0.014212098,0.012359018,0.026269828,0.037713975,0.0659507076,0.082182246,0.086183599,0.0994388634,0.0922889035,0.0916143495,0.0908302602,0.1069247242,0.120589995,0.1451848159,0.1958413758,0.1836992578,0.203280028,0.2023989414,0.16909913119645,0.16043615449199,0.16207795159308,0.16769192823002,0.16845541433164,0.14922949633299,0.20253718428513
"","Croatia","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,0.20072173888392,0.21158565486779,0.21274724952537,0.20936849767068,0.21452639068616,0.1867234303276,0.19246037977567,0.18933920411049,0.182349615252,0.18956639334,0.16436549531,0.17041965152,0.1789626812,0.165518569,0.1584516596,0.154956159314,0.16197057443,0.17838566235,0.19766529027623,0.15077938792213,0.14448321898,0.17530184537869,0.17723463588033,0.14841748143115,0.14990065798518
"","Cuba","Quad Btu",0.02418982327684,0.03017346951258,0.03639510682909,0.0410005393284,0.047744708,0.054095941,0.057871748,0.058951016,0.053152684,0.053012382,0.055550655,0.0536369095,0.0595302188,0.062837246,0.07222181,0.0739261305,0.08686963303,0.113664263,0.1012740545,0.1218824911,0.1313894069,0.1392155763,0.1355393788,0.1517077592,0.158541313564,0.14243442531,0.14020249106,0.144739546534,0.170167117296,0.16603775819092,0.17364573037229,0.17713920991068,0.17160182705497,0.16849656762294,0.17227541407488,0.1703247405111,0.16743131021432
"","Cyprus","Quad Btu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.999E-6,9.919E-6,2.9652E-5,0.00040279122,0.00059596525,0.00091759585,0.00198373255,0.00270059322,0.0032172304,0.00301629105,0.0037387637,0.00392474994
"","Czech Republic","Quad Btu",--,--,--,--,--,--,--,--,--,--,--,--,--,1.5721975756305,1.4453325925141,1.3991405526246,1.4451787324113,1.3937841413719,1.285986949737,1.1559972557573,1.2585857354741,1.2882074866603,1.2935741033526,1.3690700738465,1.3847663684512,1.3357743771702,1.366502322268,1.362067234649,1.3289439211428,1.2855721039514,1.2897297694863,1.350063565058,1.3429722571668,1.2457181218682,1.1433049181957,1.1041190784835,1.0351238807336
"","Denmark","Quad Btu",0.0132538080987,0.03148719308122,0.072523675,0.095426651092,0.108099424,0.169045069,0.23937155,0.304965198,0.311821052,0.368022042,0.382111944,0.461687222,0.513186464,0.555924963,0.595891282,0.614027572,0.7088494906,0.8169425911,0.83970779301,0.981869639,1.1452607235,1.1200624495,1.18064860312,1.18472466505,1.287198951108,1.304151898242,1.221870390088,1.12256223625,1.105348118738,0.9787992921,0.96403876849854,0.86723718773843,0.79959690439953,0.71594169018041,0.70818174799256,0.69377043802582,0.65369276654989
